From Zone,To Zone,Distance (km),Approx. Price (Birr)
Addis Ketema,Akaky Kaliti,227,113.5
Addis Ketema,Arada,827,413.5
Addis Ketema,Bole,603,301.5
Addis Ketema,Gulele,185,92.5
Addis Ketema,Kirkos,452,226
Addis Ketema,Kolfe Keranio,969,484.5
Addis Ketema,Lideta,778,389
Addis Ketema,Nifas Silk-Lafto,972,486
Addis Ketema,Yeka,531,265.5
Addis Ketema,Awsi Rasu (Zone 1),545,272.5
Addis Ketema,Kilbet Rasu (Zone 2),101,50.5
Addis Ketema,Gabi Rasu (Zone 3),392,196
Addis Ketema,Fantena Rasu (Zone 4),607,303.5
Addis Ketema,Hari Rasu (Zone 5),708,354
Addis Ketema,Agew Awi,649,324.5
Addis Ketema,East Gojjam,104,52
Addis Ketema,North Gondar,649,324.5
Addis Ketema,North Shewa,928,464
Addis Ketema,North Wollo,84,42
Addis Ketema,Oromia Special Zone,641,320.5
Addis Ketema,South Gondar,451,225.5
Addis Ketema,South Wollo,828,414
Addis Ketema,Wag Hemra,114,57
Addis Ketema,West Gojjam,388,194
Addis Ketema,Assosa,558,279
Addis Ketema,Kamashi,61,30.5
Addis Ketema,Metekel,950,475
Addis Ketema,Mao-Komo Special,576,288
Addis Ketema,Dire Dawa City Administration,515,257.5
Addis Ketema,Anywaa,425,212.5
Addis Ketema,Majang,506,253
Addis Ketema,Nuer,841,420.5
Addis Ketema,Itang Special,219,109.5
Addis Ketema,Harari Regional State,56,28
Addis Ketema,Arsi,373,186.5
Addis Ketema,Bale,374,187
Addis Ketema,Borena,903,451.5
Addis Ketema,Buno Bedele,762,381
Addis Ketema,East Bale,370,185
Addis Ketema,East Guji,177,88.5
Addis Ketema,East Hararghe,346,173
Addis Ketema,East Shewa,346,173
Addis Ketema,East Wellega,986,493
Addis Ketema,Horo Guduru Wellega,979,489.5
Addis Ketema,Illubabor,629,314.5
Addis Ketema,Jimma,133,66.5
Addis Ketema,Kellem Wellega,247,123.5
Addis Ketema,North Shewa,928,464
Addis Ketema,Southwest Shewa,919,459.5
Addis Ketema,West Arsi,669,334.5
Addis Ketema,West Guji,762,381
Addis Ketema,West Hararghe,564,282
Addis Ketema,West Shewa,712,356
Addis Ketema,West Wellega,642,321
Addis Ketema,Aleta Chuko,985,492.5
Addis Ketema,Aleta Wondo,530,265
Addis Ketema,Aroresa,537,268.5
Addis Ketema,Bensa,310,155
Addis Ketema,Bona,393,196.5
Addis Ketema,Bursa,637,318.5
Addis Ketema,Dale,458,229
Addis Ketema,Dara,773,386.5
Addis Ketema,Gorche,724,362
Addis Ketema,Hawassa Zuria,401,200.5
Addis Ketema,Loka Abaya,606,303
Addis Ketema,Malga,724,362
Addis Ketema,Shebedino,290,145
Addis Ketema,Wondo Genet,959,479.5
Addis Ketema,Wonsho,168,84
Addis Ketema,Gamo,507,253.5
Addis Ketema,Gedeo,191,95.5
Addis Ketema,Gofa,764,382
Addis Ketema,Hadiya,370,185
Addis Ketema,Halaba,665,332.5
Addis Ketema,Kembata Tembaro,978,489
Addis Ketema,Konso,393,196.5
Addis Ketema,Silte,995,497.5
Addis Ketema,South Omo,868,434
Addis Ketema,Wolayita,710,355
Addis Ketema,Afder,280,140
Addis Ketema,Dollo,621,310.5
Addis Ketema,Erer,71,35.5
Addis Ketema,Fafan,829,414.5
Addis Ketema,Jarar,377,188.5
Addis Ketema,Korahe,472,236
Addis Ketema,Liben,325,162.5
Addis Ketema,Nogob,157,78.5
Addis Ketema,Shabelle,927,463.5
Addis Ketema,Sitti,147,73.5
Addis Ketema,Central,916,458
Addis Ketema,Eastern,886,443
Addis Ketema,North Western,290,145
Addis Ketema,Southern,66,33
Addis Ketema,Western,588,294
Addis Ketema,South Eastern,795,397.5
Addis Ketema,Mekelle,204,102
Akaky Kaliti,Arada,360,180
Akaky Kaliti,Bole,115,57.5
Akaky Kaliti,Gulele,417,208.5
Akaky Kaliti,Kirkos,603,301.5
Akaky Kaliti,Kolfe Keranio,924,462
Akaky Kaliti,Lideta,973,486.5
Akaky Kaliti,Nifas Silk-Lafto,674,337
Akaky Kaliti,Yeka,178,89
Akaky Kaliti,Awsi Rasu (Zone 1),804,402
Akaky Kaliti,Kilbet Rasu (Zone 2),147,73.5
Akaky Kaliti,Gabi Rasu (Zone 3),748,374
Akaky Kaliti,Fantena Rasu (Zone 4),355,177.5
Akaky Kaliti,Hari Rasu (Zone 5),278,139
Akaky Kaliti,Agew Awi,201,100.5
Akaky Kaliti,East Gojjam,571,285.5
Akaky Kaliti,North Gondar,393,196.5
Akaky Kaliti,North Shewa,272,136
Akaky Kaliti,North Wollo,662,331
Akaky Kaliti,Oromia Special Zone,525,262.5
Akaky Kaliti,South Gondar,350,175
Akaky Kaliti,South Wollo,916,458
Akaky Kaliti,Wag Hemra,978,489
Akaky Kaliti,West Gojjam,598,299
Akaky Kaliti,Assosa,522,261
Akaky Kaliti,Kamashi,249,124.5
Akaky Kaliti,Metekel,59,29.5
Akaky Kaliti,Mao-Komo Special,895,447.5
Akaky Kaliti,Dire Dawa City Administration,651,325.5
Akaky Kaliti,Anywaa,710,355
Akaky Kaliti,Majang,961,480.5
Akaky Kaliti,Nuer,969,484.5
Akaky Kaliti,Itang Special,57,28.5
Akaky Kaliti,Harari Regional State,833,416.5
Akaky Kaliti,Arsi,795,397.5
Akaky Kaliti,Bale,79,39.5
Akaky Kaliti,Borena,388,194
Akaky Kaliti,Buno Bedele,606,303
Akaky Kaliti,East Bale,931,465.5
Akaky Kaliti,East Guji,274,137
Akaky Kaliti,East Hararghe,797,398.5
Akaky Kaliti,East Shewa,117,58.5
Akaky Kaliti,East Wellega,217,108.5
Akaky Kaliti,Horo Guduru Wellega,946,473
Akaky Kaliti,Illubabor,523,261.5
Akaky Kaliti,Jimma,308,154
Akaky Kaliti,Kellem Wellega,501,250.5
Akaky Kaliti,North Shewa,225,112.5
Akaky Kaliti,Southwest Shewa,103,51.5
Akaky Kaliti,West Arsi,84,42
Akaky Kaliti,West Guji,747,373.5
Akaky Kaliti,West Hararghe,882,441
Akaky Kaliti,West Shewa,673,336.5
Akaky Kaliti,West Wellega,415,207.5
Akaky Kaliti,Aleta Chuko,857,428.5
Akaky Kaliti,Aleta Wondo,864,432
Akaky Kaliti,Aroresa,677,338.5
Akaky Kaliti,Bensa,149,74.5
Akaky Kaliti,Bona,815,407.5
Akaky Kaliti,Bursa,853,426.5
Akaky Kaliti,Dale,531,265.5
Akaky Kaliti,Dara,165,82.5
Akaky Kaliti,Gorche,945,472.5
Akaky Kaliti,Hawassa Zuria,200,100
Akaky Kaliti,Loka Abaya,668,334
Akaky Kaliti,Malga,529,264.5
Akaky Kaliti,Shebedino,146,73
Akaky Kaliti,Wondo Genet,683,341.5
Akaky Kaliti,Wonsho,344,172
Akaky Kaliti,Gamo,816,408
Akaky Kaliti,Gedeo,202,101
Akaky Kaliti,Gofa,135,67.5
Akaky Kaliti,Hadiya,357,178.5
Akaky Kaliti,Halaba,281,140.5
Akaky Kaliti,Kembata Tembaro,211,105.5
Akaky Kaliti,Konso,783,391.5
Akaky Kaliti,Silte,327,163.5
Akaky Kaliti,South Omo,252,126
Akaky Kaliti,Wolayita,713,356.5
Akaky Kaliti,Afder,191,95.5
Akaky Kaliti,Dollo,321,160.5
Akaky Kaliti,Erer,778,389
Akaky Kaliti,Fafan,100,50
Akaky Kaliti,Jarar,660,330
Akaky Kaliti,Korahe,338,169
Akaky Kaliti,Liben,746,373
Akaky Kaliti,Nogob,552,276
Akaky Kaliti,Shabelle,385,192.5
Akaky Kaliti,Sitti,934,467
Akaky Kaliti,Central,400,200
Akaky Kaliti,Eastern,870,435
Akaky Kaliti,North Western,416,208
Akaky Kaliti,Southern,979,489.5
